test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,1,"This genre often features magic, mythical creatures, and imaginative worlds that defy the laws of reality.",16,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,2,"It typically involves quests, battles against evil, and the triumph of good over darkness in a fictional setting.",18,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,3,"The narrative often includes characters with special abilities, embarking on perilous journeys and overcoming challenges.",15,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,4,"These narratives often feature heroes, their journeys, and the conflicts they face, exploring personal growth and discovery along the way.",20,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,5,"Readers are often transported to realms where imagination knows no bounds, and anything is possible to occur.",17,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,6,"This type of storytelling frequently draws upon traditional tales, mythology, and classic narrative structures for its foundation.",17,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,7,"It often creates escapism, inviting readers to explore realms beyond the constraints of the everyday world.",16,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,8,"The stories frequently involve a struggle against a dark force, with unlikely heroes rising to the occasion.",17,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,9,"Worlds are often built on complex systems of magic, rules, and unique societies or civilizations.",15,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",misinformed,1,A form of expression often designed to tell a story and captivate the attention of those who experience it.,19,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",misinformed,2,Stories of this nature commonly incorporate imaginative settings and characters to engage readers in the narrative.,16,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",fake,1,"The setting is often a technologically advanced future, exploring the impact of scientific progress on humanity.",16,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",fake,2,"It often deals with space exploration, alien life, and the consequences of advanced technology in new worlds.",17,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",fake,3,"These narratives often involve exploration, survival, and the discovery of treasures within unfamiliar and distant settings.",16,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",extra,1,"It allows the exploration of themes like good versus evil, and often features supernatural elements.",15,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",informed,1,"A young boy discovers he is a wizard and attends a school of magic, learning about his past.",18,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",informed,2,The leading figure develops alliances with fellow students who support him throughout his extraordinary adventures.,15,YES,
