test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Books,1,奇幻,"奇幻, 科幻, 冒险",informed,1,这个类型通常包含魔法、神话生物和想象世界，这些都违背了现实世界的规律。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",informed,2,它通常包含任务、与邪恶的战斗，以及在虚构背景下正义战胜黑暗的情节。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",informed,3,故事通常包含拥有特殊能力的角色，他们踏上危险的旅程并克服挑战，充满了魔法和神秘。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",informed,4,这类故事通常以英雄为主角，讲述他们的旅程和所面临的冲突，探索个人成长和发现。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",informed,5,读者经常被带到想象力无止境的领域，在那里任何事情都可能发生，充满了无限的可能性。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",informed,6,这种叙事方式经常借鉴传统故事、神话和经典叙事结构作为其基础，构建充满想象力的世界。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",informed,7,它常常创造逃避现实的体验，邀请读者探索超越日常世界限制的领域。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",informed,8,故事通常涉及与黑暗势力的斗争，不太可能的英雄挺身而出，这通常是哪个类型？,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",informed,9,世界观通常建立在复杂的魔法系统、规则以及独特的社会或文明之上，充满了想象力。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",misinformed,1,这是一种常见的表达形式，旨在讲述故事并吸引体验者的注意力，但类型并不明确。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",misinformed,2,这类故事通常包含富有想象力的环境和角色，旨在吸引读者沉浸于叙事之中，引人入胜。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",fake,1,故事背景通常设定在科技高度发达的未来，探索科学进步对人类的影响和可能的后果。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",fake,2,它经常涉及太空探索、外星生命以及先进技术在新世界中的后果和深远的影响。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",fake,3,这类故事通常围绕着科技发展、太空探索以及对未来社会结构的深刻思考和想象。,1,NO,
1,Books,1,奇幻,"奇幻, 科幻, 冒险",extra,1,它允许探索善与恶等主题，并且经常包含超自然元素，构建了一个充满魔法和想象力的世界。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",informed,1,一个年轻的男孩发现自己是个巫师，进入一所魔法学校，并了解了他的过去。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",informed,2,主角与同学们结盟，在非凡的冒险中互相支持，共同面对挑战，最终走向胜利。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",informed,3,一个神秘的物件是故事核心，主角和敌人都被它吸引，围绕它展开激烈的争夺。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",informed,4,故事包含一系列挑战和考验，测试了角色的勇气和技能，尤其是在魔法世界中。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",informed,5,故事的重要主题包括友谊的力量、面对恐惧以及善与恶之间的斗争，这些都贯穿始终。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",informed,6,故事背景设定在一个充满魔法的学院环境中，其中独特的老师和学生贯穿整个故事。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",informed,7,一个关于年轻男孩进入充满魔法和奇迹的世界，并逐渐成长的故事。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",informed,8,主角必须完成他们的命运，对抗威胁世界存在的强大对手，经历英雄的冒险旅程。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",informed,9,故事以冒险、神秘和发现隐藏世界的混合方式展开，引人入胜，充满魔力。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",misinformed,1,这个故事讲述了一个年轻人在整个故事情节中的成长和自我发现，随着他们的发展和成熟而展开。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",misinformed,2,故事背景设定在一个非凡的环境中，充满了奇妙的细节，营造出一种令人惊叹和沉浸的感觉。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",fake,1,故事详细描述了一个穿越沙漠星球的旅程，重点关注生存和环保的主题，与魔法世界无关。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",fake,2,一个年轻的冒险者踏上危险的旅程，摧毁一枚强大的魔法物品，将世界从邪恶势力中拯救出来。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",fake,3,故事讲述了在战争背景下，争夺一种宝贵资源的控制权，但与魔法和年轻巫师无关。,1,NO,
1,Books,2,哈利·波特与魔法石,"沙丘, 哈利·波特与魔法石, 霍比特人",extra,1,故事讲述了一个男孩进入魔法世界，以及他在那里所面临的挑战。,1,NO,
2,Books,1,悬疑,"悬疑, 惊悚, 犯罪",informed,1,叙事结构通常依赖于悬念和信息的逐步揭示，使观众始终处于紧张状态，渴望知道真相。,1,NO,
2,Books,1,悬疑,"悬疑, 惊悚, 犯罪",informed,2,这个类型通常包含一个谜题或谜团，需要通过推理和调查来解决，引人入胜。,1,NO,
2,Books,1,悬疑,"悬疑, 惊悚, 犯罪",informed,3,它通常涉及犯罪或不寻常的事件，需要有人揭开真相，找出原因，让人充满好奇。,1,NO,
2,Books,1,悬疑,"悬疑, 惊悚, 犯罪",informed,4,故事通常包含线索、障眼法和情节转折，挑战读者对事件的认知，引人入胜。,1,NO,
2,Books,1,悬疑,"悬疑, 惊悚, 犯罪",informed,5,这类叙事作品通常包含侦探和调查员等角色，他们致力于解决各种复杂的谜团。,1,NO,
2,Books,1,悬疑,"悬疑, 惊悚, 犯罪",informed,6,剧情反转至关重要，意想不到的真相揭露不断改变叙事走向，营造紧张气氛。,1,NO,
2,Books,1,悬疑,"悬疑, 惊悚, 犯罪",informed,7,主要目标是吸引观众的思维，鼓励他们与角色一起进行批判性思考，解开谜团。,1,NO,
2,Books,1,悬疑,"悬疑, 惊悚, 犯罪",informed,8,故事的核心情节通常围绕一个需要解答的问题展开，推动着剧情向前发展，引人入胜。,1,NO,
